titlu	pret	oras	grad_finisare	descriere	tip_oferta	persoana	etaj	vechime_imobil	numar_bai	numar_balcoane	geamuri_termopan	centrala_termica	compatimentare	parchet	confort	gresie	faianta	zugravit_lavabil	loc_parcare	agentie	numar_camere	strada	suprafata	cartier	link	modificari_interioare	balcoane_inchise	aer_conditionat	loc_in_pod	loc_in_pivnita	uscator 
Vanzare Garsoniera 25 mp; Etajul 3 din 6, in apropiere de CALEA DOROBANTILOR	50 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Cel mai bun pret! Garsoniera de vanzare in CLUJ-NAPOCA,  cartierul MARASTI,  situata la etajul 3 din 6 etaje,  avand o suprafata de 25 mp. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul mobilat si utilat modern mai are si alte dotari precum frigider,  masina de spalat,  aragaz,  lift,  interfon. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ282086)			Etajul 3	bloc nou			Da	Da		Da		Da	Da	Da		EDIL		CALEA DOROBANTILOR 	25mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7483027	Nu		Nu			
Vanzare Garsoniera 24 mp; Etajul 4 din 4, in apropiere de CERNEI	39 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Cea mai buna oferta cu cel mai bun pret! EDIL va pune la dispozitie garsoniera  pentru vanzare,  situata la etajul 4 din 4 etaje,  in CLUJ-NAPOCA,  cartierul MARASTI. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna. Imobilul mobilat si utilat modern mai are si alte dotari precum interfon. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ281984)			Ultimul etaj	mai vechi de 2000			Da	Nu		Nu		Da	Da	Da		EDIL		CERNEI 	24mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7483030	Nu		Nu			
Vanzare Garsoniera 32 mp; Etajul 5 din 6, in apropiere de RAVASULUI	46 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Trebuie sa vedeti aceasta oferta exceptionala! Imobilul face parte dintr-o constructie noua. EDIL va pune la dispozitie o garsoniera situata la etajul 5 din 6 etaje,   pentru vanzare in CLUJ-NAPOCA,  cartierul MANASTUR. Suprafata acesteia este de 32mp. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ278380)			Etajul 5	bloc nou			Da	Nu		Nu		Da	Da	Da		EDIL		RAVASULUI 	32mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7495321	Nu		Nu			
Vanzare Garsoniera 22 mp; Etajul 2 din 4, in apropiere de BIZUSA	43 900 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	    Aceasta oferta exceptionala este sub pretul pietei! EDIL va ofera spre vanzare o garsoniera ,  situata la etajul 2 din 4 etaje,  in CLUJ-NAPOCA,  cartierul GHEORGHENI,  in apropiere de IULIUS MALL. Suprafata acesteia este de 22 mp. Garsoniera este confort 2 si este dotata cu 1 baie,  faianta clasica,  gresie clasica,  mocheta,  parchet masiv. Imobilul mobilat clasic mai are si alte dotari precum frigider,  masina de spalat,  aragaz,  interfon. Daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ283118)			Etajul 2	mai vechi de 2000			Nu	Da		Da		Da	Da	Da		EDIL		BIZUSA 	22mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7524253	Nu		Nu			
Vanzare Garsoniera 28 mp; Etajul parter din 4, in apropiere de NICOLAE TITULESCU	50 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	"    Nu ratati oferta noastra! EDIL va ofera o garsoniera  de vanzare,  situata la parter din 4 etaje,  in CLUJ-NAPOCA,  cartierul GHEORGHENI. Garsoniera este confort 1 si dispune de finisaje moderne.  Imobilul semimobilat mai are si alte dotari precum interfon. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ281944)"			Parter	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		NICOLAE TITULESCU 	28mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7483042	Nu		Nu			
Vanzare Garsoniera 26 mp; Etajul parter inalt din 4, in apropiere de CONSTANTIN BRANCUSI	38 000 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	    Acest imobil este o oferta deosebita care prezinta numeroase avantaje si mi-ar face o deosebita placere sa va ofer mai multe detalii. EDIL va pune la dispozitie casa individuala cu 2 camere,  bucatarie,  o baie,  pentru vanzare in CLUJ-NAPOCA,  cartierul GRIGORESCU,  in apropiere de 14 IULIE. Suprafata utila este de 60 mp,  cu un teren de 300 mp. Aceasta este situata in zona linistita. Aceasta are construita din caramida,  acoperis de tigla clasica,  fundatie de beton,  izolatie exterioara. Imobilul mai are si alte dotari precum centrala proprie,   ferestre de termopan,   usa metalica,  interfon,  frigider,  aragaz,  masina de spalat. Daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ283460)			Nespecificat	bloc nou			Da	Da		Nu		Da	Da	Da		EDIL		CONSTANTIN BRANCUSI 	26mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7550633	Nu		Nu			
Vanzare Garsoniera 11 mp; Etajul 4 din 4, in apropiere de GARBAU	18 500 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Pret bomba la o oferta exceptionala! Oferta de vanzare garsoniera in localitatea CLUJ-NAPOCA,  cartierul MANASTUR. Garsoniera de vanzare este situata la etajul 4 din 4 etaje,  iar suprafata acesteia este de 11 mp. Garsoniera este confort 3 si este dotata cu 1 baie,  faianta moderna,  gresie moderna,  parchet laminat. Daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ283083)			Ultimul etaj	mai vechi de 2000			Nu	Da		Da		Da	Da	Da		EDIL		GARBAU 	11mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7524265	Nu		Nu			
Vanzare Garsoniera 25 mp; Etajul 4 din 4, in apropiere de MEHEDINTI	46 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Trebuie sa vedeti aceasta oferta exceptionala! EDIL va ofera spre vanzare o garsoniera ,  situata la etajul 4 din 4 etaje,  in CLUJ-NAPOCA,  cartierul MANASTUR. Suprafata acesteia este de 25 mp. Garsoniera este confort 1 si este dotata cu centrala proprie,  1 baie,  1 balcon,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul mobilat si utilat modern mai are si alte dotari precum frigider,  masina de spalat,  aragaz. Daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ282505)			Ultimul etaj	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		MEHEDINTI 	25mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7495338	Nu		Nu			
Nu a fost deschis anuntul																															
Vanzare Garsoniera 26 mp; Etajul 1 din 4, in apropiere de PARANG	50 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Citeste acum despre aceasta oferta exceptionala! Va oferim spre vanzare o garsoniera ,  situata la etajul 1 din 4 etaje,  in localitatea CLUJ-NAPOCA,  cartierul MANASTUR. Suprafata acesteia este de 26 mp. Garsoniera este compusa din 1 camera,  1 baie,  1 balcon si este confort 1. Imobilul este mobilat si utilat clasic. Daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ283367)			Etajul 1	mai vechi de 2000			Da	Da		Nu		Da	Da	Da		EDIL		PARANG 	26mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7543800	Nu		Nu			
Garsoniera de vanzare bloc nou Gheorgheni	38 000 EUR	Cluj-Napoca, Cluj, Gheorgheni		"    Koncept imobiliare va ofera spre vanzare o garsoniera cocheta,  finisata,  mobilata si utilata,  cu o suprafata utila de 26 mp (17mp+9mp dormitorul inalt). Are o inaltime ce a permis realizarea unei subpante ce este folosita la pozitionarea patului.Este complet finisata cu gresie,  faianta,  parchet,  mobilier de bucatarie,  baie.  Este perfecta atat pentru locuit cat si pentru birou. In acte apare intabulata ca si birou si pozitionarea la parter inalt (echivalentul etajului 1) ofera posibilitatea de a fi transformata oricand intr-un spatiu de birou,  sediu firma. Se poate achizitiona cu preluare de chiriasi.Situata intr-o zona excelenta,  aproape de magazine,  mijloace de transport,  scoli. Pentru detalii suplimentare,  nu ezitati sa ne contactati telefonic,  prin e-mail,  sau direct la sediul agentiei noastre de pe strada Napoca 10."			Parter	bloc nou				Nu		Da		Da	Da	Da		Koncept Imobiliare		- 	20mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7555022			Nu			
Garsoniera Plopilor parter inalt cu intrare din strada	36 500 EUR	Cluj-Napoca, Cluj, Plopilor	Nespecificat	    Koncept Imobiliare va ofera spre vanzare o garsoniera pe strada Plopilor,  langa campusul Facultatii de Sport. Garsoniera are 15 mp + terasa de 10 mp si se afla la parter inalt. Aceasta este aproape de Sala Sporturilor,  Sala Polivalenta,  Stadion,  Parcul Central.. Garsoniera se poate folosi ca si spatiu locativ sau ca si spatiu comercial din acest motiv,  in momentul de fata este goala,  nemobilata. S-a obtinut deja Certificatul de Urbanism pentru modificarea destinatiei spatiului in spatiu comercial. De asemenea,  pentru cine doreste sa foloseasca ca si locuinta,  exista proiect de amenajare de la designer,  pentru a optimiza la maxim suprafata in cazul spatiului pentru locuit. Pentru detalii suplimentare,  nu ezitati sa ne contactati telefonic,  prin e-mail,  sau direct la sediul agentiei noastre de pe strada Napoca 10.			Parter	mai vechi de 2000				Da		Nu		Da	Da	Nu		Koncept Imobiliare		- 	15mp 	Plopilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7555015			Nu			
Apartament cu o camere in zona centala-Investitie	73 000 EUR	Cluj-Napoca, Cluj		"    Prin Remax Concept,  va propun spre achizitie,  unitate locativa situata la etajul al treilea si ultimul,  al unui imobil,  constructie de calitate din noua generatie.Pozitia centrala si orientarea vestica îi dau atît luminozitate cat si priveliste asupra cladirilor istorice din centrul orasului.Poate fi o investitie deoarece momentan spatiul este inchiriat unui salon,  sau poate fi amenajat ca o placuta locuinta."			Etajul 3	Nespecificat				Da		Nu		Nu	Nu	Nu		RE/MAX Concept		- 	44mp 		http://www.piata-az.ro/anunturi/oras-cluj-napoca/7553047			Nu			
Garsoniera moderna in zona semicentrala, mobilata, ideal pentru investitie	59 900 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	"    Ideal pentru investitie! Va oferim spre vanzare garsoniera in Gheorgheni zona Fsega. Aceasta este pozitionata la parterul inalt al unui imobil de 4 etaje si are o suprafata utila de 22 mp. Finisajele interioare sunt moderne. Oferta se vinde mobilata si utilata modern. Deoarece se afla la cateva minute de Iulius Mall si Piata Cipariu oferta este ideala pentru investitie."			Parter	mai vechi de 2000			Da	Da		Da		Nu	Da	Da		REMS Imobiliare		- 	22mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7545598						
Garsoniera zona Marasti	38 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Koncept imobiliare va propune spre vanzare o garsoniera in cartierul Marasti,  zona Expo Transilvania. Garsoniera este situata la etajul 1 a unui imobil cu 4 etaje,  cu suprafata utila de 25mp este compartimentata astfel:  bucatarie,  camera,  baie,  antreu si balcon. Garsoniera este dotata cu usa antiefractie si se vinde mobilata si utilata. Pentru informatii suplimentare,  pentru programarea unei vizionari sau pentru a afla oferta noastra completa nu ezitati sa ne contactati telefonic,  prin e-mail sau la sediul agentiei noastre,  pe str. Napoca nr. 10.			Etajul 1	mai vechi de 2000				Nu		Da		Da	Da	Da		Koncept Imobiliare		- 	25mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7545550			Nu			
Garsoniera de  vanzare in Cluj Napoca, Gheorgheni ID 4250	48 000 EUR	Cluj-Napoca, Cluj, Gheorgheni		"    Oferim spre vanzare garsoniera,  finisata modern,  suprafata utila 32 mp,  situata in Cluj-Napoca,  in cartierul Gheorgheni,  in zona Mercur (locatie cu verdeata,  linistita ,  in apropiere de diverse facilitati).Garsoniera este pozitionata la etaj intermediar (4/10),  intr-un bloc cu lift si interfon.Compartimentare: hol,  camera,  bucatarie,  baie,  balcon.Se vinde mobilata si utilata."			Etajul 4	mai vechi de 2000			Da			Da		Da	Da	Da		Axa Imobiliare		- 	32mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7444722						
Garsoniera confort 1 in Gheorgheni finisata si mobilata	49 000 EUR	Cluj-Napoca, Cluj, Gheorgheni		    Koncept Imobiliare va ofera spre vanzare garsoniera confort 1 in Gheorgheni zona Complex Diana. Garsoniera este situata la etaj intermediar,  complet renovata,  inclusiv instalatia electrica,  sanitara.  Garsoniera are suprafata de 28 mp plus balcon,  orientare sudica,  beneficiaza de lumina naturala pe tot parcursul zilei. Finisata modern,  complet mobilata cu mobila facuta la comanda si biblioteca ELVILA,  electrocasnice noi.  Zona foarte accesibila,  aproape de mijloacele de transport in comun,  p-ta Hermes,  parc la maxim 3 minute distanta. Ideala pentru locuinta sau investitie. Optional poate fi cumparata cu preluare de chiriasi. Pentru informatii suplimentare nu ezitati sa ne contactati prin email,  telefonic sau la sediul agentiei pe strada Napoca nr. 10.			Etajul 7	mai vechi de 2000				Nu		Nu		Nu	Nu	Nu		Koncept Imobiliare		- 	28mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7528760			Nu			
Vanzare garsoniera spatioasa in Manastur	50 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	"    Welt Imobiliare ofera spre vanzare garsoniera in Manastur,  zona strazii Parang,  confort 1,  spatioasa.Garsoniera se afla pozitionata la etajul 1 intr-un bloc cu 10 etaje.Ca si finisaje,  dispune de finisaje moderne avand geamuri termopan,  usa metalica,  gresie,  faianta.Dispune de loc de parcare.Pentru detalii suplimentare va stam la dispozitie."			Etajul 1							Da		Nu	Da	Da		Welt Imobiliare		- 	30mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7331633						
Vanzare garsoniera in Marasti, spatioasa	45 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	"    Welt Imobiliare ofera spre vanzare garsoniera in cartierul Marasti,  zona Expo Transilvania.Garsoniera se afla pozitionata la etaj intermediar intr-o constructie noua cu 4 etaje,  izolata exterior.Beneficiaza de finisaje moderne,  avand parchet,  termopane,  usa metalica,  gresie,  faianta.Incalzirea se face cu CT proprie.Se vinde partial mobilata.Pentru detalii suplimentare va stam la dispozitie."			Etajul 3	bloc nou				Da		Da		Nu	Da	Da		Welt Imobiliare		- 	29mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7514298						
Garsoniera de vanzare in Manastur, in apropiere de Kaufland, ideal investitie	51 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Agentia Welt Imobiliare va ofera spre vanzare o garsoniera in cartierul Manastur,  in apropiere de Kaufland.Aceasta dispune de o camera spatioasa,  bucatarie si baie separata.Este ideala pentru locuit cat si pentru investitie datorita zonei cautate,  aproape de punctele de interes si mijloace de trasport in comun.Pentru detalii suplimentare sau vizionari nu ezitati sa ne contactati.			Parter							Da		Nu	Da	Da		Welt Imobiliare		- 	26mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7361540						
Vanzare Garsoniera 21 mp; Etajul 2 din 4, in apropiere de TIMISULUI	28 000 EUR	Cluj-Napoca, Cluj, Someseni	Finisat clasic	    Trebuie sa vedeti aceasta oferta exceptionala! EDIL va ofera spre vanzare o garsoniera  in CLUJ-NAPOCA,  cartierul SOMESENI. Suprafata garsonierei este de 21 mp si este situata la etajul 2 din 4 etaje. Garsoniera este confort 2 si este dotata cu 1 baie,  faianta moderna,  gresie moderna,  parchet masiv. Imobilul mobilat si utilat clasic mai are si alte dotari precum frigider,  masina de spalat,  aragaz. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ279956)			Etajul 2	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		TIMISULUI 	21mp 	Someseni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7456832	Nu		Nu			
Vanzare Garsoniera 20 mp; Etajul parter din 2, in apropiere de AVRAM IANCU	40 000 EUR	Cluj-Napoca, Cluj, Centru	Nespecificat	    Consider ca aceasta oferta este menita sa fie vizionata indiferent daca se regaseste sau nu in bugetul dumneavoastra. EDIL va pune la dispozitie o garsoniera pentru vanzare in Cluj-Napoca. Garsoniera are o suprafata de 20mp.  Garsoniera de vanzare este semidecomandat alcatuita din o camera,  baie si bucatarie. Acesta este situat la parter intr-un imobil  cu 2 etaje in Cluj-Napoca cartier Central in zona Avram Iancu. Garsoniera este confort 2,  aceasta fiind dotata cu termopane. Imobilul  este renovat si  se vinde semimobilat.  Garsoniera dispune de boxa.  Pentru mai multe detalii sau pentru programarea vizionarii acestei oferte nu ezita sa ne contactati acum la sediul agentiei.  (ID:GACJ230257)			Parter	mai vechi de 2000			Da	Da		Nu		Nu	Nu	Nu		EDIL		AVRAM IANCU 	20mp 	Centru	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7482953	Nu		Nu			
Vanzare Garsoniera 20 mp; Etajul 3 din 4, in apropiere de AVRAM IANCU	59 000 EUR	Cluj-Napoca, Cluj, Centru	Nespecificat	    Sunati acum pentru a afla mai multe detalii despre aceasta oferta exceptionala! EDIL va ofera garsoniera de vanzare in CLUJ-NAPOCA,  cartierul CENTRAL. Imobilul este situat la etajul 3 din 4 etaje,  si are suprafata de 20 mp. Garsoniera este confort 2 si este dotata cu centrala proprie,  1 baie,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul mobilat si utilat modern mai are si alte dotari precum televizor,  frigider,  masina de spalat,  aragaz. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ281414)			Etajul 3	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		AVRAM IANCU 	20mp 	Centru	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7454676	Nu		Nu			
Vanzare Garsoniera 22 mp; Etajul 4 din 4, in apropiere de B-DUL MUNCII	28 500 EUR	Cluj-Napoca, Cluj, Iris	Nespecificat	    Nu ratati aceasta noua oferta exceptionala! EDIL va ofera garsoniera de vanzare in CLUJ-NAPOCA,  cartierul IRIS. Imobilul este situat la etajul 4 din 4 etaje,  si are suprafata de 22 mp. Garsoniera este confort 2 si este dotata cu centrala proprie,  1 baie,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul se vinde mobilat si utilat modern. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ279188)			Ultimul etaj	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		B-DUL MUNCII 	22mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7454694	Nu		Nu			
Vanzare Garsoniera 22 mp; Etajul 2 din 4, in apropiere de TELEORMAN	40 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Nu ezitati sa ne contactati acum pentru a afla mai multe detalii! Garsoniera de vanzare in CLUJ-NAPOCA,  cartierul MARASTI,  in apropiere de EXPO TRANSILVANIA,  situata la etajul 2 din 4 etaje,  avand o suprafata de 22 mp. Garsoniera este confort 2 si este dotata cu 1 baie,  faianta moderna,  gresie moderna. Imobilul se vinde semimobilat. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ196725)			Etajul 2	mai vechi de 2000			Da	Da		Nu		Da	Da	Nu		EDIL		TELEORMAN 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7456783	Nu		Nu			
Vanzare Garsoniera 24 mp; Etajul 2 din 4, in apropiere de TAZLAU	44 700 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Profitati acum de aceasta oferta exceptionala cu un pret foarte mic! Oferta de vanzare garsoniera in localitatea CLUJ-NAPOCA,  cartierul MANASTUR. Garsoniera de vanzare este situata la etajul 2 din 4 etaje,  iar suprafata acesteia este de 24 mp. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna,  parchet masiv. Imobilul mobilat si utilat modern mai are si alte dotari precum frigider,  masina de spalat,  aragaz,  boxa. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ279518)			Etajul 2	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		TAZLAU 	24mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7452200	Nu		Nu			
Vanzare Garsoniera 28 mp; Etajul parter din 10, in apropiere de GRIGORE ALEXANDRESCU	45 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Profitati acum de aceasta oferta exceptionala cu un pret foarte mic! EDIL va ofera o garsoniera  de vanzare,  situata la parter din 10 etaje,  in CLUJ-NAPOCA,  cartierul MANASTUR,  in apropiere de UBV. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul mobilat clasic mai are si alte dotari precum debara,  lift,  interfon. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ171203)			Parter	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		GRIGORE ALEXANDRESCU 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7454562	Nu		Nu			
Vanzare Garsoniera 28 mp; Etajul 9 din 10, in apropiere de PARANG	44 000 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    Contactati-ne acum pentru a afla mai multe detalii! EDIL va ofera spre vanzare o garsoniera in CLUJ-NAPOCA,  cartierul MANASTUR. imobilul are o suprafata utila de 28 mp si este situat la etajul 9 din 10 etaje. Garsoniera este confort 1 si este dotata cu centrala proprie,  1 baie,  1 balcon,  faianta moderna,  gresie moderna. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ280486)			Etajul 9	mai vechi de 2000			Da	Da		Nu		Da	Da	Da		EDIL		PARANG 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7452533	Nu		Nu			
Nu a fost deschis anuntul																															
Vanzare Garsoniera 22 mp; Etajul parter din 7, in apropiere de CALEA DOROBANTILOR	45 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Numai acum puteti beneficia de noua oferta exceptionala! EDIL va ofera spre vanzare o garsoniera ,  situata la parter din 7 etaje,  in CLUJ-NAPOCA,  cartierul MARASTI. Suprafata acesteia este de 22 mp. Garsoniera este confort 1 si este dotata cu 1 baie,  1 balcon,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul se vinde mobilat si utilat modern. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ276463)			Parter	bloc nou			Da	Nu		Da		Da	Da	Da		EDIL		CALEA DOROBANTILOR 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7452321	Nu		Nu			
Vanzare Garsoniera 27 mp; Etajul parter din 4, in apropiere de ZORILOR	58 000 EUR	Cluj-Napoca, Cluj, Zorilor	Nespecificat	    Avem o noua oferta exceptionala pentru dumneavoastra! Avem placerea de a va oferi spre vanzare o garsoniera ,  situata la parter din 4 etaje,  in localitatea CLUJ-NAPOCA,  cartierul ZORILOR. Garsoniera este confort 1 si este dotata cu centrala proprie,  1 baie,  faianta moderna,  gresie moderna,  parchet laminat. Imobilul mobilat si utilat modern mai are si alte dotari precum televizor,  frigider,  masina de spalat,  aragaz. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ280012)			Parter	mai vechi de 2000			Da	Da		Da		Da	Da	Da		EDIL		ZORILOR 	27mp 	Zorilor	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7452337	Nu		Nu			
Vanzare Garsoniera 24 mp; Etajul 2 din 4, in apropiere de B-DUL MUNCII	30 200 EUR	Cluj-Napoca, Cluj, Iris	Nespecificat	    Numai acum puteti beneficia de noua oferta exceptionala! Va facem cunoscuta o oferta de vanzare a unei garsoniere,  situata la etajul 2 din 4 etaje,  cu suprafata de 24 mp,  din CLUJ-NAPOCA,  cartierul IRIS. Garsoniera este confort 1 si este dotata cu centrala proprie,  1 baie,  faianta clasica,  gresie clasica,  parchet laminat. Daca va place aceasta oferta sau pentru alte case nu ezitati sa ne contactati telefonic sau la sediul nostru EDIL,  Str. Iuliu Maniu,  Nr. 17,  Cluj-Napoca.  (ID:GACJ280137)			Etajul 2	mai vechi de 2000			Nu	Da		Da		Da	Da	Nu		EDIL		B-DUL MUNCII 	24mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7456954	Nu		Nu			
